module_id,chapter_id,question_title,option1,option2,option3,option4,correct_answer
12,30,The amount beyond which cash transactions (Receipts & Payments) are to be monitored by the Commercial Banks as stipulated by the RBI in its guidelines is –,Rs.5 lacs & above ,Rs.8 lacs & above ,Rs.10 lacs & above ,No such limit,3
12,30,"Submission of details of PAN (Permanent Account Number) is compulsory for Fixed Deposits,",Rs.1,Rs.2,Rs.5,No such limit,3
12,30,Branches should not open deposit/advances accounts of banned/ terrorist organizations as circulated by -,IRDA,SEBI,AMFI,FIU,4
12,30,FCRA means,Foreign Contribution Regulation Act,Foreign Contribution Regulation Act,Foreign Contribution Regulation Act,Foreign Contribution Regulation Act,1
12,30,Maximum punishment by way of imprisonment for the offence committed under Money Laundering Act is -,7 years ,9 years ,10 years ,12 years,3
12,30,“Smurfing” means -,large number of cash deposits into same account     ,One voucher for high value deposit,Low value denominations of cash      ,None of the above,1
12,30,The objective of verifying the employee life-styles by the employer is -,To know the source of income,To ascertain whether the employee is having any contacts with illegal organisations,To ascertain whether the employee is assisting organisations banned by statutory authorities                                   ,All of these,4
12,30,Role of the concurrent auditors / Internal auditors with KYC is to -,Review of compliance of KYC guidelines,Effectiveness of the implementation of the KYC,Verification of newly opened accounts and their transactions,All of the above,4
12,30,Strict adherence to KYC norms is achieved through -,Following the statutory authority guidelines,Identification of customers with appropriate documents,Strict Implementation of the Banks Systems and procedures while opening the accounts,All of the above,4
12,30,Name the software available in the market for KYC implementation -,Bank Master ,Tally ,Bank Alert,Bank Call,3
12,30,Which of the following transactions is/are not consistent with a salaried customer’s account?,Frequent deposits of cash in large sums by third parties,Deposit of cheques issued by foreign companies,High value transactions routed through the account with high frequency,All of the above,4
12,30,Which of the following transactions is/are suspicious from AML angle -," Large volume of credits happen through DDs/TTs/BC etC.,",Deposit of several small values of cheques,Frequent deposits of cash into the account by persons other than the account holder or his authorised representative,All of the above,4
12,30,"While accounts are transferred from one branch to another, the receiving branch is expected to comply with KYC Norms. Which one of the following is/are correct in this regard?",Detailed verification of Customer Profile as received from the earlier branch is to be done with caution,Detailed verification is not needed but the account is opened immediately and informed to the customer,Fresh details are to be obtained and a fresh customer profile is to be prepared,No transaction is to be permitted for the first six months till the customer is fully know to the bank,3
12,30,One of the sources that is available to identify the correctness of the information given by the New Customer of the Commercial Bank is -, Introduction given by the existing customer of the Bank,By studying the account opening form,By providing information by the agencies like CRISIL,None of the above,3
12,30,"Which of the following is a source of identification of new customer who is not having any valid documents such as, passport, etC.", Introduction from the third person having an account with the bank /branch,Introduction given the Safe deposit locker holder of the bank,Self–declaration given by the new customer along with other opening forms,None of the above,1
12,30,Is India a member of FATF?,Yes ,No,Has applied for inclusion,Is likely to be made a member,2
12,30,Is adopting Anti Money Laundering practices compulsory for Banks in India?,Yes ,No,Not Sure,Will be made compulsory for banks in India?,1
12,30,Letter of thanks is sent to introducer/s because it is -,laid down in the banks’ manual,A routine practice followed by banks for years,Recommended by the Auditors of banks,Assisting banks in verification of genuineness or otherwise of the address,4
12,30,Which of the following is the cardinal rule for bankers in anti-money laundering efforts -,Know Your Customer & Know Your Employee,Know the Customer of the other Banks,Know the income of the Customers of your Bank,Know the Assets Position of the customers of the Bank,1
12,30, Money Laundering means -,Conversion of assets to invest in Laundromats,Conversion of money which is illegally obtained to make them legitimate,Conversion of cash into gold to make them legitimate,Conversion of assets into cash to make them legitimate,2
12,30," While opening an account in the name of a company, the following document/s is/are to be obtained -", Organisation Chart of the company,Roles and responsibilities of the Company,Memorandum and Articles of Association of the Company,Instructions of the Registrar of the Compan,3
12,30, How many recommendations were made by FATF on anti money laundering -,65 recommendations,NIL,40 recommendations,Yet to be finalised,3
12,30," For opening accounts in the case of Joint Hindu Undivided Family (JHUF), the following document/s is/are important -",Declaration of all family members,Declaration of the Karta of the family,Declaration of all guardians on behalf of minors,Declaration can be exempted as per Hindu Succession Act,2
12,30,"While opening an account in case of partnership firm, one of the vital document to be produced by the firm is -", Partners MOU ,Partnership Deed    ,Registration certificate  of Partnership  ,Signatures of the partners,2
12,30, Cash cannot be accepted for issue of DDs/TTs/Rupee TCs from the customers for Rs. ____,"Rs.50,000/- & above  ","Rs.75,000/- & above","Rs.1,00,000/- & above ","Rs.1,50,000/- & above",4
12,30,The branches of commercial banks should report suspicious transactions to -,Bank’s respective authority,RBI,Ministry of Finance ,None of the above,1
12,30,Maximum punishment by way of imprisonment for the offence committed under Money Laundering Act is -,7 years,9 years ,10 years ,12 years,3
12,30,Maximum retention period of the bank records in case of suspicious transactions is -,5 years          ,7 years         ,C. 10 years         ,15 years,3
12,30,Four eyes concept means -,opening and verifying of account by one person two times,Opening and verifying of account by electronic device/s,Copening and verifying of account by two different persons,None of the above,3
12,30,Role of the concurrent auditors / Internal auditors with KYC is to -,Review of compliance of KYC guidelines,Effectiveness of the implementation of the KYC,Verification of newly opened accounts and their transactions,All of the above,4
12,30,Role of the front line employees of a bank in respect of KYC guidelines is to -,Identify customers as per the existing instructions,Serve with Smile while opening the customer accounts,Assist the customer in filling-up the account opening forms,Provide efficient customer service,1
12,30,Which of the following transactions is/are not consistent with a salaried customer’s account?,Frequent deposits of cash in large sums by third parties,Deposit of cheques issued by foreign companies,High value transactions routed through the account with high frequency,All of the above,4
12,30,Which of the following transactions is/are suspicious from AML angle -,"Large volume of credits happen through DDs/TTs/BC etC.,",Deposit of several small values of cheques,Frequent deposits of cash into the account by persons other than the account holder or his authorized representative,All of the above,4
